,Principal ensions (mm),,Basic load ratings (N),,,
dim,,,,,Designation,
d,D,B,C,C0,,
12,21,5,1430,695,61801,
,28,8,5070,2240,6001,
,32,10,6890,3100,6201,
,37,12,9750,4650,6301,
15,24,5,1560,815,61802,
,32,9,5590,2500,6002,
,35,11,7800,3550,6202,
,42,13,11400,5400,6302,
17,26,5,1680,930,61803,
,35,10,6050,2800,6003,
,40,12,9560,4500,6202,
,47,14,13500,6550,6303,
,62,17,22900,11800,6403,
20,32,7,2700,1500,61804,
,42,8,7020,3400,16404,
,42,12,9360,4500,6004,
,47,14,12700,6200,6204,
,52,15,15900,7800,6304,
,72,19,30700,16600,6404,
25,37,7,3120,1960,61805,
,47,8,7610,4000,16005,
,47,12,11200,5600,6005,
,52,15,14000,6950,6205,
,62,17,22500,11400,6305,
,80,21,35800,19600,6405,
30,42,7,3120,2080,61806,
,55,9,11200,5850,16006,
,55,13,13300,6800,6006,
,62,16,19500,10000,6206,
,72,19,28100,14600,6306,
,90,23,43600,24000,6406,
35,47,7,4030,3000,61807,
,62,9,12400,6950,16007,
,62,14,15900,8500,6007,
,72,17,25500,13700,6207,
,80,21,33200,18000,6307,
,100,25,55300,31000,6407,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
40,52,7,4160,3350,61808,
,68,9,13300,7800,16008,
,68,15,16800,9300,6008,
,80,18,30700,16600,6208,
,90,23,41000,22400,6308,
,110,27,63700,36500,6408,
45,58,7,6050,3800,61809,
,75,10,15600,9300,16009,
,75,16,21200,12200,6009,
,85,19,33200,18600,6209,
,100,25,52700,30000,6309,
,120,29,76100,45500,6409,
50,65,7,6240,4250,61810,
,80,10,16300,10000,16010,
,80,16,21600,13200,6010,
,90,20,35100,19600,6210,
,110,27,61800,36000,6310,
,130,31,87100,52000,6410,
55,72,9,8320,5600,61811,
,90,11,19500,12200,16011,
,90,18,28100,17000,6011,
,100,21,43600,25000,6211,
,120,29,71500,41500,6311,
,140,33,99500,63000,6411,
60,78,10,8710,6100,61812,
,95,11,19900,13200,16012,
,95,18,29600,18300,6012,
,110,22,47500,28000,6212,
,130,31,81900,48000,6312,
,150,35,108000,69500,6412,
65,85,10,11700,8300,61813,
,100,11,21200,14600,16013,
,100,18,30700,19600,6013,
,120,23,55900,34000,6213,
,140,33,92300,56000,6313,
,160,37,119000,78000,6413,
,,,,,,
,,,,,, 
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
70,90,10,12100,9150,61814,
,110,13,28100,19000,16014,
,110,20,37700,24500,6014,
,125,24,61800,37500,6214,
,150,35,104000,63000,6314,
,180,42,143000,104000,6414,
75,95,10,12500,9800,61815,
,115,13,28600,20000,10615,
,115,20,39700,26000,6015,
,130,25,66300,40500,6215,
,160,37,112000,72000,6315,
,190,45,153000,114000,6415,
